collection_round,route,true_index
21,BLR-HYD,107.317
21,DEL-MAA,106.708
21,BOM-MAA,101.572
21,CCU-BLR,101.717
22,DEL-BOM,105.224
22,DEL-BLR,94.224
22,BOM-BLR,95.607
22,DEL-CCU,97.677
22,DEL-HYD,105.611
22,BOM-HYD,104.118
22,BLR-HYD,107.542
22,DEL-MAA,107.893
22,BOM-MAA,101.257
22,CCU-BLR,102.524
23,DEL-BOM,105.004
23,DEL-BLR,93.906
23,BOM-BLR,95.084
23,DEL-CCU,98.131
23,DEL-HYD,106.011
23,BOM-HYD,104.971
23,BLR-HYD,108.397
23,DEL-MAA,107.636
23,BOM-MAA,101.326
23,CCU-BLR,102.624
24,DEL-BOM,106.168
24,DEL-BLR,93.872
24,BOM-BLR,94.817
24,DEL-CCU,98.185
24,DEL-HYD,106.351
24,BOM-HYD,105.548
24,BLR-HYD,108.778
24,DEL-MAA,108.003
24,BOM-MAA,102.293
24,CCU-BLR,102.541
25,DEL-BOM,106.153
25,DEL-BLR,93.103
25,BOM-BLR,94.986
25,DEL-CCU,97.287
25,DEL-HYD,106.067
25,BOM-HYD,104.991
25,BLR-HYD,108.547
25,DEL-MAA,108.402
25,BOM-MAA,102.382
25,CCU-BLR,102.741
26,DEL-BOM,106.605
26,DEL-BLR,93.075
26,BOM-BLR,94.072
26,DEL-CCU,97.189
26,DEL-HYD,106.068
26,BOM-HYD,105.533
26,BLR-HYD,109.119
26,DEL-MAA,108.989
26,BOM-MAA,101.693
26,CCU-BLR,102.992
27,DEL-BOM,106.131
27,DEL-BLR,93.328
27,BOM-BLR,94.542
27,DEL-CCU,97.304
27,DEL-HYD,106.304
27,BOM-HYD,105.764
27,BLR-HYD,109.991
27,DEL-MAA,109.339
27,BOM-MAA,101.996
27,CCU-BLR,103.208
28,DEL-BOM,106.239
28,DEL-BLR,93.043
28,BOM-BLR,93.961
28,DEL-CCU,97.126
28,DEL-HYD,106.969
28,BOM-HYD,105.477
28,BLR-HYD,110.463
28,DEL-MAA,109.475
28,BOM-MAA,101.96
28,CCU-BLR,103.208
29,DEL-BOM,106.808
29,DEL-BLR,92.732
29,BOM-BLR,93.97
29,DEL-CCU,97.296
29,DEL-HYD,107.022
29,BOM-HYD,106.486
29,BLR-HYD,110.947
29,DEL-MAA,109.75
29,BOM-MAA,102.346
29,CCU-BLR,103.062
30,DEL-BOM,107.196
30,DEL-BLR,92.15
30,BOM-BLR,93.386
30,DEL-CCU,97.175
30,DEL-HYD,107.843
30,BOM-HYD,106.647
30,BLR-HYD,111.141
30,DEL-MAA,110.647
30,BOM-MAA,102.048
30,CCU-BLR,102.939
31,DEL-BOM,107.947
31,DEL-BLR,91.839
31,BOM-BLR,93.152
31,DEL-CCU,97.088
31,DEL-HYD,107.264
31,BOM-HYD,106.951
31,BLR-HYD,111.009
31,DEL-MAA,110.261
31,BOM-MAA,102.626
31,CCU-BLR,103.404
32,DEL-BOM,108.205
32,DEL-BLR,91.49
32,BOM-BLR,93.241
32,DEL-CCU,97.053
32,DEL-HYD,107.757
32,BOM-HYD,107.197
32,BLR-HYD,111.325
32,DEL-MAA,110.757
32,BOM-MAA,102.465
32,CCU-BLR,103.2
33,DEL-BOM,107.4
33,DEL-BLR,91.186
33,BOM-BLR,92.92
33,DEL-CCU,96.704
33,DEL-HYD,107.765
33,BOM-HYD,106.869
33,BLR-HYD,112.292
33,DEL-MAA,111.11
33,BOM-MAA,102.452
33,CCU-BLR,104.014
34,DEL-BOM,108.07
34,DEL-BLR,91.439
34,BOM-BLR,92.594
34,DEL-CCU,97.087
34,DEL-HYD,108.973
34,BOM-HYD,106.901
34,BLR-HYD,112.727
34,DEL-MAA,111.754
34,BOM-MAA,102.495
34,CCU-BLR,103.574
35,DEL-BOM,108.766
35,DEL-BLR,90.565
35,BOM-BLR,92.278
35,DEL-CCU,97.206
35,DEL-HYD,109.184
35,BOM-HYD,107.25
35,BLR-HYD,113.307
35,DEL-MAA,112.482
35,BOM-MAA,102.507
35,CCU-BLR,103.273
