record_id,collection_round,route,airline,flight,departure_date,collection_time,booking_horizon,cabin,base_fare,taxes,total_fare,availability,source,quality_status
18,1,DEL-BLR,IndiGo,IN510,2026-09-15,2026-08-31,T+15,Economy,5730.0,1030.0,6760.0,Available,Airline Site,Valid
19,1,DEL-BLR,IndiGo,IN680,2026-09-15,2026-09-08,T+7,Economy,6560.0,1180.0,7740.0,Available,OTA,Valid
20,1,DEL-BLR,IndiGo,IN611,2026-09-15,2026-09-14,T+1,Economy,6000.0,1080.0,7080.0,Available,OTA,Valid
21,1,DEL-BLR,Air India,AI862,2026-09-15,2026-08-01,T+45,Economy,3100.0,560.0,3660.0,Available,OTA,Valid
22,1,DEL-BLR,Air India,AI538,2026-09-15,2026-08-16,T+30,Economy,4310.0,780.0,5090.0,Available,OTA,Valid
23,1,DEL-BLR,Air India,AI241,2026-09-15,2026-08-31,T+15,Economy,5130.0,920.0,6050.0,Available,Airline Site,Valid
24,1,DEL-BLR,Air India,AI981,2026-09-15,2026-09-08,T+7,Economy,6180.0,1110.0,7290.0,Available,Airline Site,Valid
25,1,DEL-BLR,Air India,AI532,2026-09-15,2026-09-14,T+1,Economy,6720.0,1210.0,7930.0,Available,OTA,Valid
26,1,DEL-BLR,Akasa,AK641,2026-09-15,2026-08-01,T+45,Economy,3260.0,590.0,3850.0,Available,Airline Site,Valid
27,1,DEL-BLR,Akasa,AK217,2026-09-15,2026-08-16,T+30,Economy,4490.0,810.0,5300.0,Available,OTA,Valid
28,1,DEL-BLR,Akasa,AK448,2026-09-15,2026-08-31,T+15,Economy,5830.0,1050.0,6880.0,Available,OTA,Valid
29,1,DEL-BLR,Akasa,AK103,2026-09-15,2026-09-08,T+7,Economy,5670.0,1020.0,6690.0,Available,OTA,Valid
30,1,DEL-BLR,Akasa,AK880,2026-09-15,2026-09-14,T+1,Economy,7350.0,1320.0,8670.0,Available,Airline Site,Valid
31,1,BOM-BLR,IndiGo,IN754,2026-09-15,2026-08-01,T+45,Economy,3190.0,570.0,3760.0,Available,Airline Site,Valid
32,1,BOM-BLR,IndiGo,IN880,2026-09-15,2026-08-16,T+30,Economy,4120.0,740.0,4860.0,Available,Airline Site,Valid
33,1,BOM-BLR,IndiGo,IN600,2026-09-15,2026-08-31,T+15,Economy,5520.0,990.0,6510.0,Sold Out,OTA,Valid
34,1,BOM-BLR,IndiGo,IN951,2026-09-15,2026-09-08,T+7,Economy,6520.0,1170.0,7690.0,Available,Airline Site,Valid
35,1,BOM-BLR,IndiGo,IN999,2026-09-15,2026-09-14,T+1,Economy,5770.0,1040.0,6810.0,Available,Airline Site,Valid
36,1,BOM-BLR,Air India,AI170,2026-09-15,2026-08-01,T+45,Economy,2730.0,490.0,3220.0,Available,Airline Site,Valid
37,1,BOM-BLR,Air India,AI586,2026-09-15,2026-08-16,T+30,Economy,3520.0,630.0,4150.0,Available,Airline Site,Valid
38,1,BOM-BLR,Air India,AI993,2026-09-15,2026-08-31,T+15,Economy,4430.0,800.0,5230.0,Available,Airline Site,Valid
39,1,BOM-BLR,Air India,AI873,2026-09-15,2026-09-08,T+7,Economy,5640.0,1020.0,6660.0,Available,Airline Site,Valid
40,1,BOM-BLR,Air India,AI508,2026-09-15,2026-09-14,T+1,Economy,5820.0,1050.0,6870.0,Available,OTA,Valid
41,1,BOM-BLR,Akasa,AK223,2026-09-15,2026-08-01,T+45,Economy,2930.0,530.0,3460.0,Available,Airline Site,Valid
42,1,BOM-BLR,Akasa,AK702,2026-09-15,2026-08-16,T+30,Economy,3880.0,700.0,4580.0,Available,Airline Site,Valid
43,1,BOM-BLR,Akasa,AK824,2026-09-15,2026-08-31,T+15,Economy,4510.0,810.0,5320.0,Available,Airline Site,Valid
44,1,BOM-BLR,Akasa,AK132,2026-09-15,2026-09-08,T+7,Economy,5000.0,900.0,5900.0,Available,Airline Site,Valid
45,1,BOM-BLR,Akasa,AK385,2026-09-15,2026-09-14,T+1,Economy,5970.0,1070.0,7040.0,Available,Airline Site,Valid
46,1,DEL-CCU,IndiGo,IN684,2026-09-15,2026-08-01,T+45,Economy,4050.0,730.0,4780.0,Available,Airline Site,Valid
47,1,DEL-CCU,IndiGo,IN926,2026-09-15,2026-08-16,T+30,Economy,5660.0,1020.0,6680.0,Available,Airline Site,Valid
48,1,DEL-CCU,IndiGo,IN541,2026-09-15,2026-08-31,T+15,Economy,6340.0,1140.0,7480.0,Available,OTA,Valid
49,1,DEL-CCU,IndiGo,IN846,2026-09-15,2026-09-08,T+7,Economy,7580.0,1360.0,8940.0,Available,Airline Site,Valid
50,1,DEL-CCU,IndiGo,IN845,2026-09-15,2026-09-14,T+1,Economy,7340.0,1320.0,8660.0,Available,Airline Site,Valid
51,1,DEL-CCU,Air India,AI559,2026-09-15,2026-08-01,T+45,Economy,3820.0,690.0,4510.0,Available,Airline Site,Valid
52,1,DEL-CCU,Air India,AI355,2026-09-15,2026-08-16,T+30,Economy,5020.0,900.0,5920.0,Available,Airline Site,Valid
53,1,DEL-CCU,Air India,AI982,2026-09-15,2026-08-31,T+15,Economy,6420.0,1160.0,7580.0,Available,Airline Site,Valid
54,1,DEL-CCU,Air India,AI653,2026-09-15,2026-09-08,T+7,Economy,6480.0,1170.0,7650.0,Available,Airline Site,Valid
55,1,DEL-CCU,Air India,AI969,2026-09-15,2026-09-14,T+1,Economy,8540.0,1540.0,10080.0,Available,OTA,Valid
56,1,DEL-CCU,Akasa,AK510,2026-09-15,2026-08-01,T+45,Economy,4010.0,720.0,4730.0,Available,Airline Site,Valid
57,1,DEL-CCU,Akasa,AK499,2026-09-15,2026-08-16,T+30,Economy,5330.0,960.0,6290.0,Available,OTA,Valid
58,1,DEL-CCU,Akasa,AK813,2026-09-15,2026-08-31,T+15,Economy,6530.0,1180.0,7710.0,Available,OTA,Valid
59,1,DEL-CCU,Akasa,AK403,2026-09-15,2026-09-08,T+7,Economy,6980.0,1260.0,8240.0,Available,Airline Site,Valid
60,1,DEL-CCU,Akasa,AK655,2026-09-15,2026-09-14,T+1,Economy,8280.0,1490.0,9770.0,Available,OTA,Valid
61,1,DEL-HYD,IndiGo,IN614,2026-09-15,2026-08-01,T+45,Economy,3560.0,640.0,4200.0,Available,Airline Site,Valid
62,1,DEL-HYD,IndiGo,IN620,2026-09-15,2026-08-16,T+30,Economy,4540.0,820.0,5360.0,Available,Airline Site,Valid
63,1,DEL-HYD,IndiGo,IN169,2026-09-15,2026-08-31,T+15,Economy,5530.0,1000.0,6530.0,Available,Airline Site,Valid
64,1,DEL-HYD,IndiGo,IN683,2026-09-15,2026-09-08,T+7,Economy,6560.0,1180.0,7740.0,Available,Airline Site,Valid
65,1,DEL-HYD,IndiGo,IN529,2026-09-15,2026-09-14,T+1,Economy,7410.0,1330.0,8740.0,Available,OTA,Valid
66,1,DEL-HYD,Air India,AI833,2026-09-15,2026-08-01,T+45,Economy,4220.0,760.0,4980.0,Available,OTA,Valid
67,1,DEL-HYD,Air India,AI787,2026-09-15,2026-08-16,T+30,Economy,5630.0,1010.0,6640.0,Available,OTA,Valid
68,1,DEL-HYD,Air India,AI869,2026-09-15,2026-08-31,T+15,Economy,6920.0,1250.0,8170.0,Available,Airline Site,Valid
69,1,DEL-HYD,Air India,AI676,2026-09-15,2026-09-08,T+7,Economy,7900.0,1420.0,9320.0,Available,Airline Site,Valid
70,1,DEL-HYD,Air India,AI618,2026-09-15,2026-09-14,T+1,Economy,8640.0,1560.0,10200.0,Available,OTA,Valid
71,1,DEL-HYD,Akasa,AK478,2026-09-15,2026-08-01,T+45,Economy,4180.0,750.0,4930.0,Available,OTA,Valid
72,1,DEL-HYD,Akasa,AK820,2026-09-15,2026-08-16,T+30,Economy,5880.0,1060.0,6940.0,Available,Airline Site,Valid
73,1,DEL-HYD,Akasa,AK667,2026-09-15,2026-08-31,T+15,Economy,7350.0,1320.0,8670.0,Available,Airline Site,Valid
74,1,DEL-HYD,Akasa,AK237,2026-09-15,2026-09-08,T+7,Economy,8670.0,1560.0,10230.0,Available,Airline Site,Valid
75,1,DEL-HYD,Akasa,AK259,2026-09-15,2026-09-14,T+1,Economy,8980.0,1620.0,10600.0,Available,Airline Site,Valid
76,1,BOM-HYD,IndiGo,IN749,2026-09-15,2026-08-01,T+45,Economy,3960.0,710.0,4670.0,Available,OTA,Valid
77,1,BOM-HYD,IndiGo,IN966,2026-09-15,2026-08-16,T+30,Economy,5190.0,930.0,6120.0,Available,OTA,Valid
78,1,BOM-HYD,IndiGo,IN145,2026-09-15,2026-08-31,T+15,Economy,7170.0,1290.0,8460.0,Sold Out,Airline Site,Valid
79,1,BOM-HYD,IndiGo,IN368,2026-09-15,2026-09-08,T+7,Economy,7710.0,1390.0,9100.0,Available,OTA,Valid
80,1,BOM-HYD,IndiGo,IN537,2026-09-15,2026-09-14,T+1,Economy,8130.0,1460.0,9590.0,Available,Airline Site,Valid
81,1,BOM-HYD,Air India,AI252,2026-09-15,2026-08-01,T+45,Economy,3490.0,630.0,4120.0,Available,OTA,Valid
82,1,BOM-HYD,Air India,AI251,2026-09-15,2026-08-16,T+30,Economy,4750.0,860.0,5610.0,Available,Airline Site,Valid
83,1,BOM-HYD,Air India,AI915,2026-09-15,2026-08-31,T+15,Economy,5700.0,1030.0,6730.0,Available,Airline Site,Valid
84,1,BOM-HYD,Air India,AI315,2026-09-15,2026-09-08,T+7,Economy,7160.0,1290.0,8450.0,Available,Airline Site,Valid
85,1,BOM-HYD,Air India,AI673,2026-09-15,2026-09-14,T+1,Economy,6810.0,1230.0,8040.0,Available,OTA,Valid
86,1,BOM-HYD,Akasa,AK342,2026-09-15,2026-08-01,T+45,Economy,4160.0,750.0,4910.0,Available,Airline Site,Valid
87,1,BOM-HYD,Akasa,AK125,2026-09-15,2026-08-16,T+30,Economy,5870.0,1060.0,6930.0,Available,OTA,Valid
88,1,BOM-HYD,Akasa,AK521,2026-09-15,2026-08-31,T+15,Economy,7460.0,1340.0,8800.0,Available,Airline Site,Valid
89,1,BOM-HYD,Akasa,AK906,2026-09-15,2026-09-08,T+7,Economy,7430.0,1340.0,8770.0,Available,OTA,Valid
90,1,BOM-HYD,Akasa,AK979,2026-09-15,2026-09-14,T+1,Economy,9180.0,1650.0,10830.0,Available,Airline Site,Valid
91,1,BLR-HYD,IndiGo,IN412,2026-09-15,2026-08-01,T+45,Economy,3670.0,660.0,4330.0,Available,Airline Site,Valid
92,1,BLR-HYD,IndiGo,IN775,2026-09-15,2026-08-16,T+30,Economy,4780.0,860.0,5640.0,Available,OTA,Valid
93,1,BLR-HYD,IndiGo,IN171,2026-09-15,2026-08-31,T+15,Economy,5960.0,1070.0,7030.0,Available,OTA,Valid
94,1,BLR-HYD,IndiGo,IN621,2026-09-15,2026-09-08,T+7,Economy,6680.0,1200.0,7880.0,Available,OTA,Valid
95,1,BLR-HYD,IndiGo,IN218,2026-09-15,2026-09-14,T+1,Economy,8210.0,1480.0,9690.0,Available,OTA,Valid
96,1,BLR-HYD,Air India,AI371,2026-09-15,2026-08-01,T+45,Economy,3230.0,580.0,3810.0,Sold Out,OTA,Valid
97,1,BLR-HYD,Air India,AI905,2026-09-15,2026-08-16,T+30,Economy,4280.0,770.0,5050.0,Available,Airline Site,Valid
98,1,BLR-HYD,Air India,AI690,2026-09-15,2026-08-31,T+15,Economy,5370.0,970.0,6340.0,Available,Airline Site,Valid
99,1,BLR-HYD,Air India,AI101,2026-09-15,2026-09-08,T+7,Economy,6390.0,1150.0,7540.0,Available,Airline Site,Valid
100,1,BLR-HYD,Air India,AI171,2026-09-15,2026-09-14,T+1,Economy,6340.0,1140.0,7480.0,Available,OTA,Valid
101,1,BLR-HYD,Akasa,AK227,2026-09-15,2026-08-01,T+45,Economy,3530.0,640.0,4170.0,Available,OTA,Valid
102,1,BLR-HYD,Akasa,AK782,2026-09-15,2026-08-16,T+30,Economy,4780.0,860.0,5640.0,Available,OTA,Valid
103,1,BLR-HYD,Akasa,AK667,2026-09-15,2026-08-31,T+15,Economy,6240.0,1120.0,7360.0,Available,OTA,Valid
104,1,BLR-HYD,Akasa,AK488,2026-09-15,2026-09-08,T+7,Economy,6910.0,1240.0,8150.0,Available,Airline Site,Valid
105,1,BLR-HYD,Akasa,AK408,2026-09-15,2026-09-14,T+1,Economy,7360.0,1320.0,8680.0,Available,Airline Site,Valid
106,1,DEL-MAA,IndiGo,IN904,2026-09-15,2026-08-01,T+45,Economy,3170.0,570.0,3740.0,Available,OTA,Valid
107,1,DEL-MAA,IndiGo,IN552,2026-09-15,2026-08-16,T+30,Economy,4260.0,770.0,5030.0,Available,OTA,Valid
108,1,DEL-MAA,IndiGo,IN915,2026-09-15,2026-08-31,T+15,Economy,5700.0,1030.0,6730.0,Available,Airline Site,Valid
109,1,DEL-MAA,IndiGo,IN779,2026-09-15,2026-09-08,T+7,Economy,5690.0,1020.0,6710.0,Available,OTA,Valid
110,1,DEL-MAA,IndiGo,IN869,2026-09-15,2026-09-14,T+1,Economy,5790.0,1040.0,6830.0,Available,OTA,Valid
111,1,DEL-MAA,Air India,AI125,2026-09-15,2026-08-01,T+45,Economy,3120.0,560.0,3680.0,Sold Out,OTA,Valid
112,1,DEL-MAA,Air India,AI886,2026-09-15,2026-08-16,T+30,Economy,4270.0,770.0,5040.0,Available,OTA,Valid
113,1,DEL-MAA,Air India,AI689,2026-09-15,2026-08-31,T+15,Economy,5700.0,1030.0,6730.0,Available,OTA,Valid
114,1,DEL-MAA,Air India,AI349,2026-09-15,2026-09-08,T+7,Economy,5870.0,1060.0,6930.0,Available,Airline Site,Valid
115,1,DEL-MAA,Air India,AI981,2026-09-15,2026-09-14,T+1,Economy,6920.0,1250.0,8170.0,Available,Airline Site,Valid
116,1,DEL-MAA,Akasa,AK923,2026-09-15,2026-08-01,T+45,Economy,3480.0,630.0,4110.0,Available,OTA,Valid
117,1,DEL-MAA,Akasa,AK355,2026-09-15,2026-08-16,T+30,Economy,4430.0,800.0,5230.0,Available,Airline Site,Valid
118,1,DEL-MAA,Akasa,AK920,2026-09-15,2026-08-31,T+15,Economy,5860.0,1050.0,6910.0,Available,OTA,Valid
119,1,DEL-MAA,Akasa,AK553,2026-09-15,2026-09-08,T+7,Economy,7220.0,1300.0,8520.0,Available,OTA,Valid
120,1,DEL-MAA,Akasa,AK661,2026-09-15,2026-09-14,T+1,Economy,7600.0,1370.0,8970.0,Available,Airline Site,Valid
121,1,BOM-MAA,IndiGo,IN365,2026-09-15,2026-08-01,T+45,Economy,5400.0,970.0,6370.0,Available,OTA,Valid
122,1,BOM-MAA,IndiGo,IN633,2026-09-15,2026-08-16,T+30,Economy,7530.0,1360.0,8890.0,Available,Airline Site,Valid
123,1,BOM-MAA,IndiGo,IN179,2026-09-15,2026-08-31,T+15,Economy,8770.0,1580.0,10350.0,Available,Airline Site,Valid
124,1,BOM-MAA,IndiGo,IN427,2026-09-15,2026-09-08,T+7,Economy,9660.0,1740.0,11400.0,Available,Airline Site,Valid
125,1,BOM-MAA,IndiGo,IN336,2026-09-15,2026-09-14,T+1,Economy,9990.0,1800.0,11790.0,Available,Airline Site,Valid
126,1,BOM-MAA,Air India,AI517,2026-09-15,2026-08-01,T+45,Economy,5360.0,960.0,6320.0,Available,OTA,Valid
127,1,BOM-MAA,Air India,AI311,2026-09-15,2026-08-16,T+30,Economy,7160.0,1290.0,8450.0,Available,OTA,Valid
128,1,BOM-MAA,Air India,AI698,2026-09-15,2026-08-31,T+15,Economy,9840.0,1770.0,11610.0,Available,Airline Site,Valid
129,1,BOM-MAA,Air India,AI883,2026-09-15,2026-09-08,T+7,Economy,10920.0,1970.0,12890.0,Available,OTA,Valid
130,1,BOM-MAA,Air India,AI460,2026-09-15,2026-09-14,T+1,Economy,9570.0,1720.0,11290.0,Available,OTA,Valid
131,1,BOM-MAA,Akasa,AK529,2026-09-15,2026-08-01,T+45,Economy,5510.0,990.0,6500.0,Available,Airline Site,Valid
132,1,BOM-MAA,Akasa,AK379,2026-09-15,2026-08-16,T+30,Economy,7430.0,1340.0,8770.0,Available,Airline Site,Valid
133,1,BOM-MAA,Akasa,AK784,2026-09-15,2026-08-31,T+15,Economy,9160.0,1650.0,10810.0,Available,OTA,Valid
134,1,BOM-MAA,Akasa,AK960,2026-09-15,2026-09-08,T+7,Economy,10920.0,1970.0,12890.0,Available,Airline Site,Valid
135,1,BOM-MAA,Akasa,AK646,2026-09-15,2026-09-14,T+1,Economy,12460.0,2240.0,14700.0,Sold Out,OTA,Valid
136,1,CCU-BLR,IndiGo,IN185,2026-09-15,2026-08-01,T+45,Economy,3290.0,590.0,3880.0,Available,Airline Site,Valid
137,1,CCU-BLR,IndiGo,IN286,2026-09-15,2026-08-16,T+30,Economy,4640.0,840.0,5480.0,Available,OTA,Valid
138,1,CCU-BLR,IndiGo,IN565,2026-09-15,2026-08-31,T+15,Economy,5400.0,970.0,6370.0,Available,OTA,Valid
139,1,CCU-BLR,IndiGo,IN951,2026-09-15,2026-09-08,T+7,Economy,5900.0,1060.0,6960.0,Available,Airline Site,Valid
140,1,CCU-BLR,IndiGo,IN867,2026-09-15,2026-09-14,T+1,Economy,6620.0,1190.0,7810.0,Available,OTA,Valid
141,1,CCU-BLR,Air India,AI767,2026-09-15,2026-08-01,T+45,Economy,3060.0,550.0,3610.0,Sold Out,Airline Site,Valid
142,1,CCU-BLR,Air India,AI304,2026-09-15,2026-08-16,T+30,Economy,4350.0,780.0,5130.0,Available,Airline Site,Valid
143,1,CCU-BLR,Air India,AI584,2026-09-15,2026-08-31,T+15,Economy,4930.0,890.0,5820.0,Available,Airline Site,Valid
144,1,CCU-BLR,Air India,AI362,2026-09-15,2026-09-08,T+7,Economy,5720.0,1030.0,6750.0,Available,Airline Site,Valid
145,1,CCU-BLR,Air India,AI865,2026-09-15,2026-09-14,T+1,Economy,6350.0,1140.0,7490.0,Available,Airline Site,Valid
146,1,CCU-BLR,Akasa,AK126,2026-09-15,2026-08-01,T+45,Economy,3530.0,640.0,4170.0,Available,OTA,Valid
147,1,CCU-BLR,Akasa,AK832,2026-09-15,2026-08-16,T+30,Economy,4700.0,850.0,5550.0,Available,Airline Site,Valid
148,1,CCU-BLR,Akasa,AK891,2026-09-15,2026-08-31,T+15,Economy,5520.0,990.0,6510.0,Available,Airline Site,Valid
149,1,CCU-BLR,Akasa,AK679,2026-09-15,2026-09-08,T+7,Economy,7090.0,1280.0,8370.0,Available,OTA,Valid
150,1,CCU-BLR,Akasa,AK777,2026-09-15,2026-09-14,T+1,Economy,7200.0,1300.0,8500.0,Available,OTA,Valid
151,2,DEL-BOM,IndiGo,IN543,2026-09-22,2026-08-08,T+45,Economy,5410.0,970.0,6380.0,Available,OTA,Valid
152,2,DEL-BOM,IndiGo,IN545,2026-09-22,2026-08-23,T+30,Economy,7500.0,1350.0,8850.0,Available,OTA,Valid
153,2,DEL-BOM,IndiGo,IN651,2026-09-22,2026-09-07,T+15,Economy,9410.0,1690.0,11100.0,Available,OTA,Valid
154,2,DEL-BOM,IndiGo,IN848,2026-09-22,2026-09-15,T+7,Economy,10070.0,1810.0,11880.0,Available,OTA,Valid
155,2,DEL-BOM,IndiGo,IN950,2026-09-22,2026-09-21,T+1,Economy,11900.0,2140.0,14040.0,Available,OTA,Valid
156,2,DEL-BOM,Air India,AI575,2026-09-22,2026-08-08,T+45,Economy,5910.0,1060.0,6970.0,Available,OTA,Valid
157,2,DEL-BOM,Air India,AI606,2026-09-22,2026-08-23,T+30,Economy,7820.0,1410.0,9230.0,Available,Airline Site,Valid
158,2,DEL-BOM,Air India,AI463,2026-09-22,2026-09-07,T+15,Economy,10030.0,1810.0,11840.0,Available,OTA,Valid
159,2,DEL-BOM,Air India,AI710,2026-09-22,2026-09-15,T+7,Economy,10600.0,1910.0,12510.0,Available,OTA,Valid
160,2,DEL-BOM,Air India,AI629,2026-09-22,2026-09-21,T+1,Economy,12140.0,2190.0,14330.0,Available,Airline Site,Valid
161,2,DEL-BOM,Akasa,AK668,2026-09-22,2026-08-08,T+45,Economy,5220.0,940.0,6160.0,Available,OTA,Valid
162,2,DEL-BOM,Akasa,AK602,2026-09-22,2026-08-23,T+30,Economy,7180.0,1290.0,8470.0,Available,Airline Site,Valid
163,2,DEL-BOM,Akasa,AK326,2026-09-22,2026-09-07,T+15,Economy,8170.0,1470.0,9640.0,Available,Airline Site,Valid
164,2,DEL-BOM,Akasa,AK695,2026-09-22,2026-09-15,T+7,Economy,9420.0,1700.0,11120.0,Available,OTA,Valid
165,2,DEL-BOM,Akasa,AK863,2026-09-22,2026-09-21,T+1,Economy,10390.0,1870.0,12260.0,Available,OTA,Valid
166,2,DEL-BLR,IndiGo,IN357,2026-09-22,2026-08-08,T+45,Economy,3440.0,620.0,4060.0,Available,Airline Site,Valid
167,2,DEL-BLR,IndiGo,IN860,2026-09-22,2026-08-23,T+30,Economy,4530.0,820.0,5350.0,Available,Airline Site,Valid
168,2,DEL-BLR,IndiGo,IN856,2026-09-22,2026-09-07,T+15,Economy,5490.0,990.0,6480.0,Available,OTA,Valid
169,2,DEL-BLR,IndiGo,IN952,2026-09-22,2026-09-15,T+7,Economy,7180.0,1290.0,8470.0,Available,Airline Site,Valid
170,2,DEL-BLR,IndiGo,IN409,2026-09-22,2026-09-21,T+1,Economy,6730.0,1210.0,7940.0,Sold Out,Airline Site,Valid
171,2,DEL-BLR,Air India,AI666,2026-09-22,2026-08-08,T+45,Economy,3160.0,570.0,3730.0,Available,Airline Site,Valid
172,2,DEL-BLR,Air India,AI870,2026-09-22,2026-08-23,T+30,Economy,4340.0,780.0,5120.0,Available,Airline Site,Valid
173,2,DEL-BLR,Air India,AI580,2026-09-22,2026-09-07,T+15,Economy,5450.0,980.0,6430.0,Available,OTA,Valid
174,2,DEL-BLR,Air India,AI152,2026-09-22,2026-09-15,T+7,Economy,5540.0,1000.0,6540.0,Available,OTA,Valid
175,2,DEL-BLR,Air India,AI166,2026-09-22,2026-09-21,T+1,Economy,5810.0,1050.0,6860.0,Available,Airline Site,Valid
176,2,DEL-BLR,Akasa,AK255,2026-09-22,2026-08-08,T+45,Economy,3360.0,600.0,3960.0,Available,OTA,Valid
177,2,DEL-BLR,Akasa,AK354,2026-09-22,2026-08-23,T+30,Economy,4300.0,770.0,5070.0,Available,OTA,Valid
178,2,DEL-BLR,Akasa,AK909,2026-09-22,2026-09-07,T+15,Economy,5820.0,1050.0,6870.0,Available,OTA,Valid
179,2,DEL-BLR,Akasa,AK553,2026-09-22,2026-09-15,T+7,Economy,6260.0,1130.0,7390.0,Available,OTA,Valid
180,2,DEL-BLR,Akasa,AK735,2026-09-22,2026-09-21,T+1,Economy,6480.0,1170.0,7650.0,Available,Airline Site,Valid
181,2,BOM-BLR,IndiGo,IN316,2026-09-22,2026-08-08,T+45,Economy,3200.0,580.0,3780.0,Available,Airline Site,Valid
182,2,BOM-BLR,IndiGo,IN277,2026-09-22,2026-08-23,T+30,Economy,4140.0,750.0,4890.0,Available,Airline Site,Valid
183,2,BOM-BLR,IndiGo,IN561,2026-09-22,2026-09-07,T+15,Economy,4920.0,890.0,5810.0,Available,OTA,Valid
184,2,BOM-BLR,IndiGo,IN337,2026-09-22,2026-09-15,T+7,Economy,5760.0,1040.0,6800.0,Available,OTA,Valid
185,2,BOM-BLR,IndiGo,IN564,2026-09-22,2026-09-21,T+1,Economy,6810.0,1230.0,8040.0,Available,Airline Site,Valid
186,2,BOM-BLR,Air India,AI740,2026-09-22,2026-08-08,T+45,Economy,3190.0,570.0,3760.0,Available,Airline Site,Valid
187,2,BOM-BLR,Air India,AI657,2026-09-22,2026-08-23,T+30,Economy,4270.0,770.0,5040.0,Available,Airline Site,Valid
188,2,BOM-BLR,Air India,AI946,2026-09-22,2026-09-07,T+15,Economy,5860.0,1050.0,6910.0,Available,Airline Site,Valid
189,2,BOM-BLR,Air India,AI414,2026-09-22,2026-09-15,T+7,Economy,5570.0,1000.0,6570.0,Available,OTA,Valid
190,2,BOM-BLR,Air India,AI579,2026-09-22,2026-09-21,T+1,Economy,6370.0,1150.0,7520.0,Available,OTA,Valid
191,2,BOM-BLR,Akasa,AK605,2026-09-22,2026-08-08,T+45,Economy,3200.0,580.0,3780.0,Available,Airline Site,Valid
192,2,BOM-BLR,Akasa,AK852,2026-09-22,2026-08-23,T+30,Economy,4530.0,820.0,5350.0,Available,OTA,Valid
193,2,BOM-BLR,Akasa,AK334,2026-09-22,2026-09-07,T+15,Economy,4940.0,890.0,5830.0,Available,Airline Site,Valid
194,2,BOM-BLR,Akasa,AK788,2026-09-22,2026-09-15,T+7,Economy,6720.0,1210.0,7930.0,Available,Airline Site,Valid
195,2,BOM-BLR,Akasa,AK279,2026-09-22,2026-09-21,T+1,Economy,6900.0,1240.0,8140.0,Available,OTA,Valid
196,2,DEL-CCU,IndiGo,IN699,2026-09-22,2026-08-08,T+45,Economy,4310.0,780.0,5090.0,Available,OTA,Valid
197,2,DEL-CCU,IndiGo,IN581,2026-09-22,2026-08-23,T+30,Economy,6160.0,1110.0,7270.0,Available,OTA,Valid
198,2,DEL-CCU,IndiGo,IN207,2026-09-22,2026-09-07,T+15,Economy,7070.0,1270.0,8340.0,Available,OTA,Valid
