record_id,collection_round,route,airline,flight,departure_date,collection_time,booking_horizon,cabin,base_fare,fuel_surcharge,udf,convenience_fee,gst,total_fare,availability,source,quality_status,exclusion_reason
18,1,DEL-BLR,IndiGo,IN111,2026-08-15,2026-07-31,T+15,Economy,4393.0,347,173,289,578,5780.0,Available,Airline Site,Valid,
19,1,DEL-BLR,IndiGo,IN373,2026-08-15,2026-08-08,T+7,Economy,4560.0,360,180,300,600,6000.0,Available,OTA,Valid,
20,1,DEL-BLR,IndiGo,IN564,2026-08-15,2026-08-14,T+1,Economy,4234.0,334,167,278,557,5570.0,Sold Out,OTA,Flagged,Sold out at collection time
21,1,DEL-BLR,Air India,AI208,2026-08-15,2026-07-01,T+45,Economy,2751.0,217,109,181,362,3620.0,Available,OTA,Valid,
22,1,DEL-BLR,Air India,AI303,2026-08-15,2026-07-16,T+30,Economy,3869.0,305,153,254,509,5090.0,Available,Airline Site,Valid,
23,1,DEL-BLR,Air India,AI643,2026-08-15,2026-07-31,T+15,Economy,4788.0,378,189,315,630,6300.0,Available,OTA,Valid,
24,1,DEL-BLR,Air India,AI471,2026-08-15,2026-08-08,T+7,Economy,5054.0,399,200,332,665,6650.0,Available,OTA,Valid,
25,1,DEL-BLR,Air India,AI680,2026-08-15,2026-08-14,T+1,Economy,5146.0,406,203,338,677,6770.0,Available,Airline Site,Valid,
26,1,DEL-BLR,Akasa,AK645,2026-08-15,2026-07-01,T+45,Economy,2705.0,214,107,178,356,3560.0,Available,Airline Site,Valid,
27,1,DEL-BLR,Akasa,AK269,2026-08-15,2026-07-16,T+30,Economy,3724.0,294,147,245,490,4900.0,Available,OTA,Valid,
28,1,DEL-BLR,Akasa,AK873,2026-08-15,2026-07-31,T+15,Economy,5008.0,395,198,330,659,6590.0,Available,Airline Site,Valid,
29,1,DEL-BLR,Akasa,AK787,2026-08-15,2026-08-08,T+7,Economy,5168.0,408,204,340,680,6800.0,Available,OTA,Valid,
30,1,DEL-BLR,Akasa,AK353,2026-08-15,2026-08-14,T+1,Economy,5829.0,460,230,384,767,7670.0,Available,OTA,Valid,
31,1,BOM-BLR,IndiGo,IN824,2026-08-15,2026-07-01,T+45,Economy,2189.0,173,86,144,288,2880.0,Available,Airline Site,Valid,
32,1,BOM-BLR,IndiGo,IN438,2026-08-15,2026-07-16,T+30,Economy,2805.0,221,111,184,369,3690.0,Available,Airline Site,Valid,
33,1,BOM-BLR,IndiGo,IN652,2026-08-15,2026-07-31,T+15,Economy,3670.0,290,145,242,483,4830.0,Available,OTA,Valid,
34,1,BOM-BLR,IndiGo,IN516,2026-08-15,2026-08-08,T+7,Economy,4005.0,316,158,264,527,5270.0,Available,Airline Site,Valid,
35,1,BOM-BLR,IndiGo,IN520,2026-08-15,2026-08-14,T+1,Economy,4712.0,372,186,310,620,6200.0,Available,Airline Site,Valid,
36,1,BOM-BLR,Air India,AI512,2026-08-15,2026-07-01,T+45,Economy,2258.0,178,89,148,297,2970.0,Available,Airline Site,Valid,
37,1,BOM-BLR,Air India,AI559,2026-08-15,2026-07-16,T+30,Economy,2964.0,234,117,195,390,3900.0,Available,Airline Site,Valid,
38,1,BOM-BLR,Air India,AI177,2026-08-15,2026-07-31,T+15,Economy,3701.0,292,146,244,487,4870.0,Available,Airline Site,Valid,
39,1,BOM-BLR,Air India,AI956,2026-08-15,2026-08-08,T+7,Economy,4035.0,319,159,266,531,5310.0,Sold Out,Airline Site,Flagged,Sold out at collection time
40,1,BOM-BLR,Air India,AI270,2026-08-15,2026-08-14,T+1,Economy,5275.0,416,208,347,694,6940.0,Available,OTA,Valid,
41,1,BOM-BLR,Akasa,AK488,2026-08-15,2026-07-01,T+45,Economy,2052.0,162,81,135,270,2700.0,Sold Out,OTA,Flagged,Sold out at collection time
42,1,BOM-BLR,Akasa,AK565,2026-08-15,2026-07-16,T+30,Economy,2812.0,222,111,185,370,3700.0,Available,OTA,Valid,
43,1,BOM-BLR,Akasa,AK159,2026-08-15,2026-07-31,T+15,Economy,3299.0,260,130,217,434,4340.0,Available,Airline Site,Valid,
44,1,BOM-BLR,Akasa,AK698,2026-08-15,2026-08-08,T+7,Economy,4089.0,323,161,269,538,5380.0,Available,Airline Site,Valid,
45,1,BOM-BLR,Akasa,AK971,2026-08-15,2026-08-14,T+1,Economy,3815.0,301,151,251,502,5020.0,Available,Airline Site,Valid,
46,1,DEL-CCU,IndiGo,IN352,2026-08-15,2026-07-01,T+45,Economy,2957.0,233,117,194,389,3890.0,Available,Airline Site,Valid,
47,1,DEL-CCU,IndiGo,IN697,2026-08-15,2026-07-16,T+30,Economy,3937.0,311,155,259,518,5180.0,Available,OTA,Valid,
48,1,DEL-CCU,IndiGo,IN833,2026-08-15,2026-07-31,T+15,Economy,5237.0,413,207,344,689,6890.0,Available,OTA,Valid,
49,1,DEL-CCU,IndiGo,IN407,2026-08-15,2026-08-08,T+7,Economy,5373.0,424,212,354,707,7070.0,Available,Airline Site,Valid,
50,1,DEL-CCU,IndiGo,IN676,2026-08-15,2026-08-14,T+1,Economy,5199.0,410,205,342,684,6840.0,Available,Airline Site,Valid,
51,1,DEL-CCU,Air India,AI457,2026-08-15,2026-07-01,T+45,Economy,3002.0,237,118,198,395,3950.0,Available,Airline Site,Valid,
52,1,DEL-CCU,Air India,AI953,2026-08-15,2026-07-16,T+30,Economy,3990.0,315,158,262,525,5250.0,Available,OTA,Valid,
53,1,DEL-CCU,Air India,AI769,2026-08-15,2026-07-31,T+15,Economy,5487.0,433,217,361,722,7220.0,Available,OTA,Valid,
54,1,DEL-CCU,Air India,AI999,2026-08-15,2026-08-08,T+7,Economy,6194.0,489,244,408,815,8150.0,Available,Airline Site,Valid,
55,1,DEL-CCU,Air India,AI259,2026-08-15,2026-08-14,T+1,Economy,6901.0,545,272,454,908,9080.0,Available,Airline Site,Valid,
56,1,DEL-CCU,Akasa,AK370,2026-08-15,2026-07-01,T+45,Economy,3200.0,253,126,210,421,4210.0,Available,OTA,Valid,
57,1,DEL-CCU,Akasa,AK194,2026-08-15,2026-07-16,T+30,Economy,4598.0,363,182,302,605,6050.0,Available,OTA,Valid,
58,1,DEL-CCU,Akasa,AK233,2026-08-15,2026-07-31,T+15,Economy,4864.0,384,192,320,640,6400.0,Available,OTA,Valid,
59,1,DEL-CCU,Akasa,AK822,2026-08-15,2026-08-08,T+7,Economy,5517.0,436,218,363,726,7260.0,Available,Airline Site,Valid,
60,1,DEL-CCU,Akasa,AK807,2026-08-15,2026-08-14,T+1,Economy,5989.0,473,236,394,788,7880.0,Available,Airline Site,Valid,
61,1,DEL-HYD,IndiGo,IN415,2026-08-15,2026-07-01,T+45,Economy,2949.0,233,116,194,388,3880.0,Available,Airline Site,Valid,
62,1,DEL-HYD,IndiGo,IN355,2026-08-15,2026-07-16,T+30,Economy,4195.0,331,166,276,552,5520.0,Available,OTA,Valid,
63,1,DEL-HYD,IndiGo,IN516,2026-08-15,2026-07-31,T+15,Economy,5525.0,436,218,364,727,7270.0,Available,Airline Site,Valid,
64,1,DEL-HYD,IndiGo,IN266,2026-08-15,2026-08-08,T+7,Economy,6125.0,484,242,403,806,8060.0,Available,Airline Site,Valid,
65,1,DEL-HYD,IndiGo,IN854,2026-08-15,2026-08-14,T+1,Economy,6475.0,511,256,426,852,8520.0,Available,OTA,Valid,
66,1,DEL-HYD,Air India,AI373,2026-08-15,2026-07-01,T+45,Economy,3200.0,253,126,210,421,4210.0,Available,Airline Site,Valid,
67,1,DEL-HYD,Air India,AI581,2026-08-15,2026-07-16,T+30,Economy,4066.0,321,160,268,535,5350.0,Available,OTA,Valid,
68,1,DEL-HYD,Air India,AI992,2026-08-15,2026-07-31,T+15,Economy,5282.0,417,208,348,695,6950.0,Available,Airline Site,Valid,
69,1,DEL-HYD,Air India,AI385,2026-08-15,2026-08-08,T+7,Economy,6102.0,482,241,402,803,8030.0,Available,OTA,Valid,
70,1,DEL-HYD,Air India,AI795,2026-08-15,2026-08-14,T+1,Economy,6141.0,485,242,404,808,8080.0,Available,OTA,Valid,
71,1,DEL-HYD,Akasa,AK282,2026-08-15,2026-07-01,T+45,Economy,3313.0,262,131,218,436,4360.0,Available,OTA,Valid,
72,1,DEL-HYD,Akasa,AK453,2026-08-15,2026-07-16,T+30,Economy,4126.0,326,163,272,543,5430.0,Available,OTA,Valid,
73,1,DEL-HYD,Akasa,AK218,2026-08-15,2026-07-31,T+15,Economy,5563.0,439,220,366,732,7320.0,Available,Airline Site,Valid,
74,1,DEL-HYD,Akasa,AK101,2026-08-15,2026-08-08,T+7,Economy,5814.0,459,230,382,765,7650.0,Available,Airline Site,Valid,
75,1,DEL-HYD,Akasa,AK780,2026-08-15,2026-08-14,T+1,Economy,6149.0,485,243,404,809,8090.0,Available,OTA,Valid,
76,1,BOM-HYD,IndiGo,IN782,2026-08-15,2026-07-01,T+45,Economy,2675.0,211,106,176,352,3520.0,Available,OTA,Valid,
77,1,BOM-HYD,IndiGo,IN296,2026-08-15,2026-07-16,T+30,Economy,3717.0,293,147,244,489,4890.0,Available,OTA,Valid,
78,1,BOM-HYD,IndiGo,IN730,2026-08-15,2026-07-31,T+15,Economy,4826.0,381,190,318,635,6350.0,Available,OTA,Valid,
79,1,BOM-HYD,IndiGo,IN393,2026-08-15,2026-08-08,T+7,Economy,4955.0,391,196,326,652,6520.0,Available,OTA,Valid,
80,1,BOM-HYD,IndiGo,IN318,2026-08-15,2026-08-14,T+1,Economy,5358.0,423,212,352,705,7050.0,Available,Airline Site,Valid,
81,1,BOM-HYD,Air India,AI734,2026-08-15,2026-07-01,T+45,Economy,3009.0,238,119,198,396,3960.0,Available,Airline Site,Valid,
82,1,BOM-HYD,Air India,AI303,2026-08-15,2026-07-16,T+30,Economy,4043.0,319,160,266,532,5320.0,Available,Airline Site,Valid,
83,1,BOM-HYD,Air India,AI970,2026-08-15,2026-07-31,T+15,Economy,4803.0,379,190,316,632,6320.0,Available,OTA,Valid,
84,1,BOM-HYD,Air India,AI299,2026-08-15,2026-08-08,T+7,Economy,5555.0,439,219,366,731,7310.0,Available,OTA,Valid,
85,1,BOM-HYD,Air India,AI771,2026-08-15,2026-08-14,T+1,Economy,5936.0,469,234,390,781,7810.0,Available,Airline Site,Valid,
86,1,BOM-HYD,Akasa,AK812,2026-08-15,2026-07-01,T+45,Economy,3101.0,245,122,204,408,4080.0,Available,Airline Site,Valid,
87,1,BOM-HYD,Akasa,AK224,2026-08-15,2026-07-16,T+30,Economy,4248.0,335,168,280,559,5590.0,Available,OTA,Valid,
88,1,BOM-HYD,Akasa,AK709,2026-08-15,2026-07-31,T+15,Economy,5510.0,435,218,362,725,7250.0,Available,OTA,Valid,
89,1,BOM-HYD,Akasa,AK616,2026-08-15,2026-08-08,T+7,Economy,5973.0,472,236,393,786,7860.0,Available,OTA,Valid,
90,1,BOM-HYD,Akasa,AK586,2026-08-15,2026-08-14,T+1,Economy,6871.0,542,271,452,904,9040.0,Available,Airline Site,Valid,
91,1,BLR-HYD,IndiGo,IN344,2026-08-15,2026-07-01,T+45,Economy,2515.0,199,99,166,331,3310.0,Available,Airline Site,Valid,
92,1,BLR-HYD,IndiGo,IN443,2026-08-15,2026-07-16,T+30,Economy,3427.0,271,135,226,451,4510.0,Available,Airline Site,Valid,
93,1,BLR-HYD,IndiGo,IN810,2026-08-15,2026-07-31,T+15,Economy,3907.0,308,154,257,514,5140.0,Available,Airline Site,Valid,
94,1,BLR-HYD,IndiGo,IN655,2026-08-15,2026-08-08,T+7,Economy,4264.0,337,168,280,561,5610.0,Available,Airline Site,Valid,
95,1,BLR-HYD,IndiGo,IN888,2026-08-15,2026-08-14,T+1,Economy,4720.0,373,186,310,621,6210.0,Available,Airline Site,Valid,
96,1,BLR-HYD,Air India,AI106,2026-08-15,2026-07-01,T+45,Economy,2797.0,221,110,184,368,3680.0,Available,OTA,Valid,
97,1,BLR-HYD,Air India,AI955,2026-08-15,2026-07-16,T+30,Economy,4005.0,316,158,264,527,5270.0,Available,Airline Site,Valid,
98,1,BLR-HYD,Air India,AI597,2026-08-15,2026-07-31,T+15,Economy,4712.0,372,186,310,620,6200.0,Sold Out,OTA,Flagged,Sold out at collection time
99,1,BLR-HYD,Air India,AI841,2026-08-15,2026-08-08,T+7,Economy,5609.0,443,221,369,738,7380.0,Available,OTA,Valid,
100,1,BLR-HYD,Air India,AI646,2026-08-15,2026-08-14,T+1,Economy,6467.0,511,255,426,851,8510.0,Sold Out,OTA,Flagged,Sold out at collection time
101,1,BLR-HYD,Akasa,AK538,2026-08-15,2026-07-01,T+45,Economy,2615.0,206,103,172,344,3440.0,Available,OTA,Valid,
102,1,BLR-HYD,Akasa,AK435,2026-08-15,2026-07-16,T+30,Economy,3427.0,271,135,226,451,4510.0,Available,OTA,Valid,
103,1,BLR-HYD,Akasa,AK384,2026-08-15,2026-07-31,T+15,Economy,4507.0,356,178,296,593,5930.0,Available,OTA,Valid,
104,1,BLR-HYD,Akasa,AK119,2026-08-15,2026-08-08,T+7,Economy,4651.0,367,184,306,612,6120.0,Available,Airline Site,Valid,
105,1,BLR-HYD,Akasa,AK765,2026-08-15,2026-08-14,T+1,Economy,6027.0,476,238,396,793,7930.0,Available,Airline Site,Valid,
106,1,DEL-MAA,IndiGo,IN256,2026-08-15,2026-07-01,T+45,Economy,2653.0,209,105,174,349,3490.0,Available,OTA,Valid,
107,1,DEL-MAA,IndiGo,IN323,2026-08-15,2026-07-16,T+30,Economy,3778.0,298,149,248,497,4970.0,Available,OTA,Valid,
108,1,DEL-MAA,IndiGo,IN721,2026-08-15,2026-07-31,T+15,Economy,4788.0,378,189,315,630,6300.0,Available,Airline Site,Valid,
109,1,DEL-MAA,IndiGo,IN418,2026-08-15,2026-08-08,T+7,Economy,5365.0,424,212,353,706,7060.0,Available,Airline Site,Valid,
110,1,DEL-MAA,IndiGo,IN484,2026-08-15,2026-08-14,T+1,Economy,6133.0,484,242,404,807,8070.0,Available,Airline Site,Valid,
111,1,DEL-MAA,Air India,AI204,2026-08-15,2026-07-01,T+45,Economy,2318.0,183,92,152,305,3050.0,Available,OTA,Valid,
112,1,DEL-MAA,Air India,AI223,2026-08-15,2026-07-16,T+30,Economy,3261.0,257,129,214,429,4290.0,Available,Airline Site,Valid,
113,1,DEL-MAA,Air India,AI479,2026-08-15,2026-07-31,T+15,Economy,3778.0,298,149,248,497,4970.0,Available,OTA,Valid,
114,1,DEL-MAA,Air India,AI601,2026-08-15,2026-08-08,T+7,Economy,3853.0,304,152,254,507,5070.0,Available,OTA,Valid,
115,1,DEL-MAA,Air India,AI824,2026-08-15,2026-08-14,T+1,Economy,4909.0,388,194,323,646,6460.0,Available,Airline Site,Valid,
116,1,DEL-MAA,Akasa,AK927,2026-08-15,2026-07-01,T+45,Economy,2592.0,205,102,170,341,3410.0,Available,OTA,Valid,
117,1,DEL-MAA,Akasa,AK706,2026-08-15,2026-07-16,T+30,Economy,3595.0,284,142,236,473,4730.0,Available,Airline Site,Valid,
118,1,DEL-MAA,Akasa,AK561,2026-08-15,2026-07-31,T+15,Economy,4636.0,366,183,305,610,6100.0,Available,OTA,Valid,
119,1,DEL-MAA,Akasa,AK444,2026-08-15,2026-08-08,T+7,Economy,5085.0,401,201,334,669,6690.0,Sold Out,OTA,Flagged,Sold out at collection time
120,1,DEL-MAA,Akasa,AK916,2026-08-15,2026-08-14,T+1,Economy,4826.0,381,190,318,635,6350.0,Available,OTA,Valid,
121,1,BOM-MAA,IndiGo,IN295,2026-08-15,2026-07-01,T+45,Economy,3952.0,312,156,260,520,5200.0,Available,OTA,Valid,
122,1,BOM-MAA,IndiGo,IN807,2026-08-15,2026-07-16,T+30,Economy,5579.0,440,220,367,734,7340.0,Available,OTA,Valid,
123,1,BOM-MAA,IndiGo,IN401,2026-08-15,2026-07-31,T+15,Economy,6657.0,526,263,438,876,8760.0,Available,Airline Site,Valid,
124,1,BOM-MAA,IndiGo,IN584,2026-08-15,2026-08-08,T+7,Economy,7387.0,583,292,486,972,9720.0,Available,OTA,Valid,
125,1,BOM-MAA,IndiGo,IN438,2026-08-15,2026-08-14,T+1,Economy,8230.0,650,325,542,1083,10830.0,Available,OTA,Valid,
126,1,BOM-MAA,Air India,AI297,2026-08-15,2026-07-01,T+45,Economy,3656.0,289,144,240,481,4810.0,Available,Airline Site,Valid,
127,1,BOM-MAA,Air India,AI383,2026-08-15,2026-07-16,T+30,Economy,4933.0,389,195,324,649,6490.0,Available,OTA,Valid,
128,1,BOM-MAA,Air India,AI403,2026-08-15,2026-07-31,T+15,Economy,7106.0,561,280,468,935,9350.0,Available,Airline Site,Valid,
129,1,BOM-MAA,Air India,AI229,2026-08-15,2026-08-08,T+7,Economy,6832.0,539,270,450,899,8990.0,Available,Airline Site,Valid,
130,1,BOM-MAA,Air India,AI229,2026-08-15,2026-08-14,T+1,Economy,7774.0,614,307,512,1023,10230.0,Available,OTA,Valid,
131,1,BOM-MAA,Akasa,AK590,2026-08-15,2026-07-01,T+45,Economy,3565.0,281,141,234,469,4690.0,Available,Airline Site,Valid,
132,1,BOM-MAA,Akasa,AK982,2026-08-15,2026-07-16,T+30,Economy,5085.0,401,201,334,669,6690.0,Available,Airline Site,Valid,
133,1,BOM-MAA,Akasa,AK744,2026-08-15,2026-07-31,T+15,Economy,5867.0,463,232,386,772,7720.0,Available,Airline Site,Valid,
134,1,BOM-MAA,Akasa,AK411,2026-08-15,2026-08-08,T+7,Economy,6308.0,498,249,415,830,8300.0,Available,Airline Site,Valid,
135,1,BOM-MAA,Akasa,AK720,2026-08-15,2026-08-14,T+1,Economy,6757.0,533,267,444,889,8890.0,Available,Airline Site,Valid,
136,1,CCU-BLR,IndiGo,IN702,2026-08-15,2026-07-01,T+45,Economy,2371.0,187,94,156,312,3120.0,Available,OTA,Valid,
137,1,CCU-BLR,IndiGo,IN857,2026-08-15,2026-07-16,T+30,Economy,3177.0,251,125,209,418,4180.0,Available,Airline Site,Valid,
138,1,CCU-BLR,IndiGo,IN183,2026-08-15,2026-07-31,T+15,Economy,4119.0,325,163,271,542,5420.0,Available,Airline Site,Valid,
139,1,CCU-BLR,IndiGo,IN518,2026-08-15,2026-08-08,T+7,Economy,4484.0,354,177,295,590,5900.0,Available,OTA,Valid,
140,1,CCU-BLR,IndiGo,IN823,2026-08-15,2026-08-14,T+1,Economy,4545.0,359,179,299,598,5980.0,Available,OTA,Valid,
141,1,CCU-BLR,Air India,AI910,2026-08-15,2026-07-01,T+45,Economy,2219.0,175,88,146,292,2920.0,Available,Airline Site,Valid,
142,1,CCU-BLR,Air India,AI763,2026-08-15,2026-07-16,T+30,Economy,3018.0,238,119,198,397,3970.0,Available,OTA,Valid,
143,1,CCU-BLR,Air India,AI269,2026-08-15,2026-07-31,T+15,Economy,3967.0,313,157,261,522,5220.0,Available,OTA,Valid,
144,1,CCU-BLR,Air India,AI411,2026-08-15,2026-08-08,T+7,Economy,4180.0,330,165,275,550,5500.0,Available,OTA,Valid,
145,1,CCU-BLR,Air India,AI182,2026-08-15,2026-08-14,T+1,Economy,4560.0,360,180,300,600,6000.0,Available,OTA,Valid,
146,1,CCU-BLR,Akasa,AK334,2026-08-15,2026-07-01,T+45,Economy,2493.0,197,98,164,328,3280.0,Available,Airline Site,Valid,
147,1,CCU-BLR,Akasa,AK375,2026-08-15,2026-07-16,T+30,Economy,3717.0,293,147,244,489,4890.0,Available,Airline Site,Valid,
148,1,CCU-BLR,Akasa,AK384,2026-08-15,2026-07-31,T+15,Economy,4377.0,346,173,288,576,5760.0,Available,OTA,Valid,
149,1,CCU-BLR,Akasa,AK193,2026-08-15,2026-08-08,T+7,Economy,4994.0,394,197,328,657,6570.0,Available,OTA,Valid,
150,1,CCU-BLR,Akasa,AK978,2026-08-15,2026-08-14,T+1,Economy,5047.0,398,199,332,664,6640.0,Available,OTA,Valid,
151,2,DEL-BOM,IndiGo,IN663,2026-08-16,2026-07-02,T+45,Economy,4126.0,326,163,272,543,5430.0,Sold Out,Airline Site,Flagged,Sold out at collection time
152,2,DEL-BOM,IndiGo,IN891,2026-08-16,2026-07-17,T+30,Economy,5289.0,418,209,348,696,6960.0,Available,Airline Site,Valid,
153,2,DEL-BOM,IndiGo,IN523,2026-08-16,2026-08-01,T+15,Economy,7122.0,562,281,468,937,9370.0,Available,OTA,Valid,
154,2,DEL-BOM,IndiGo,IN552,2026-08-16,2026-08-09,T+7,Economy,7859.0,620,310,517,1034,10340.0,Available,Airline Site,Valid,
155,2,DEL-BOM,IndiGo,IN394,2026-08-16,2026-08-15,T+1,Economy,7578.0,598,299,498,997,9970.0,Available,OTA,Valid,
156,2,DEL-BOM,Air India,AI345,2026-08-16,2026-07-02,T+45,Economy,3937.0,311,155,259,518,5180.0,Available,OTA,Valid,
157,2,DEL-BOM,Air India,AI195,2026-08-16,2026-07-17,T+30,Economy,5335.0,421,211,351,702,7020.0,Available,Airline Site,Valid,
158,2,DEL-BOM,Air India,AI952,2026-08-16,2026-08-01,T+15,Economy,6453.0,509,255,424,849,8490.0,Available,OTA,Valid,
159,2,DEL-BOM,Air India,AI954,2026-08-16,2026-08-09,T+7,Economy,7296.0,576,288,480,960,9600.0,Available,OTA,Valid,
160,2,DEL-BOM,Air India,AI492,2026-08-16,2026-08-15,T+1,Economy,7463.0,589,295,491,982,9820.0,Available,Airline Site,Valid,
161,2,DEL-BOM,Akasa,AK524,2026-08-16,2026-07-02,T+45,Economy,4605.0,364,182,303,606,6060.0,Available,OTA,Valid,
162,2,DEL-BOM,Akasa,AK405,2026-08-16,2026-07-17,T+30,Economy,6277.0,496,248,413,826,8260.0,Available,OTA,Valid,
163,2,DEL-BOM,Akasa,AK595,2026-08-16,2026-08-01,T+15,Economy,8223.0,649,325,541,1082,10820.0,Available,OTA,Valid,
164,2,DEL-BOM,Akasa,AK293,2026-08-16,2026-08-09,T+7,Economy,8368.0,661,330,550,1101,11010.0,Available,Airline Site,Valid,
165,2,DEL-BOM,Akasa,AK894,2026-08-16,2026-08-15,T+1,Economy,9189.0,725,363,604,1209,12090.0,Available,OTA,Valid,
166,2,DEL-BLR,IndiGo,IN779,2026-08-16,2026-07-02,T+45,Economy,2599.0,205,103,171,342,3420.0,Available,Airline Site,Valid,
167,2,DEL-BLR,IndiGo,IN614,2026-08-16,2026-07-17,T+30,Economy,3435.0,271,136,226,452,4520.0,Available,OTA,Valid,
168,2,DEL-BLR,IndiGo,IN550,2026-08-16,2026-08-01,T+15,Economy,4879.0,385,193,321,642,6420.0,Available,OTA,Valid,
169,2,DEL-BLR,IndiGo,IN991,2026-08-16,2026-08-09,T+7,Economy,4309.0,340,170,284,567,5670.0,Available,Airline Site,Valid,
170,2,DEL-BLR,IndiGo,IN371,2026-08-16,2026-08-15,T+1,Economy,4842.0,382,191,318,637,6370.0,Available,OTA,Valid,
171,2,DEL-BLR,Air India,AI979,2026-08-16,2026-07-02,T+45,Economy,2645.0,209,104,174,348,3480.0,Available,OTA,Valid,
172,2,DEL-BLR,Air India,AI599,2026-08-16,2026-07-17,T+30,Economy,3633.0,287,143,239,478,4780.0,Available,Airline Site,Valid,
173,2,DEL-BLR,Air India,AI800,2026-08-16,2026-08-01,T+15,Economy,4430.0,350,175,292,583,5830.0,Available,Airline Site,Valid,
174,2,DEL-BLR,Air India,AI200,2026-08-16,2026-08-09,T+7,Economy,5137.0,406,203,338,676,6760.0,Available,Airline Site,Valid,
175,2,DEL-BLR,Air India,AI129,2026-08-16,2026-08-15,T+1,Economy,5237.0,413,207,344,689,6890.0,Sold Out,Airline Site,Flagged,Sold out at collection time
176,2,DEL-BLR,Akasa,AK643,2026-08-16,2026-07-02,T+45,Economy,2363.0,187,93,156,311,3110.0,Available,Airline Site,Valid,
177,2,DEL-BLR,Akasa,AK991,2026-08-16,2026-07-17,T+30,Economy,3048.0,241,120,200,401,4010.0,Available,Airline Site,Valid,
178,2,DEL-BLR,Akasa,AK337,2026-08-16,2026-08-01,T+15,Economy,4126.0,326,163,272,543,5430.0,Available,OTA,Valid,
179,2,DEL-BLR,Akasa,AK923,2026-08-16,2026-08-09,T+7,Economy,4560.0,360,180,300,600,6000.0,Available,OTA,Valid,
180,2,DEL-BLR,Akasa,AK552,2026-08-16,2026-08-15,T+1,Economy,5001.0,395,197,329,658,6580.0,Available,OTA,Valid,
181,2,BOM-BLR,IndiGo,IN303,2026-08-16,2026-07-02,T+45,Economy,2258.0,178,89,148,297,2970.0,Available,OTA,Valid,
182,2,BOM-BLR,IndiGo,IN467,2026-08-16,2026-07-17,T+30,Economy,2819.0,223,111,186,371,3710.0,Available,OTA,Valid,
183,2,BOM-BLR,IndiGo,IN505,2026-08-16,2026-08-01,T+15,Economy,3474.0,274,137,228,457,4570.0,Available,Airline Site,Valid,
184,2,BOM-BLR,IndiGo,IN952,2026-08-16,2026-08-09,T+7,Economy,4621.0,365,182,304,608,6080.0,Available,OTA,Valid,
185,2,BOM-BLR,IndiGo,IN921,2026-08-16,2026-08-15,T+1,Economy,4697.0,371,185,309,618,6180.0,Available,Airline Site,Valid,
